"token_lower"	"frequency"	"doc_frequency"	"book_frequency"	"example_original"	"rank"
"the"	42548	153	10	"the"	1
"and"	25225	153	10	"and"	2
"a"	18135	151	10	"a"	3
"to"	15674	153	10	"to"	4
"of"	15041	152	10	"of"	5
"he"	13880	140	10	"he"	6
"was"	12250	151	10	"was"	7
"it"	10996	151	10	"it"	8
"in"	10565	152	10	"in"	9
"i"	10554	146	10	"i"	10
"you"	9124	147	10	"you"	11
"said"	8103	145	10	"said"	12
"that"	7617	150	10	"that"	13
"she"	7504	136	10	"she"	14
"his"	7249	137	10	"his"	15
"her"	5894	139	10	"her"	16
"had"	5659	148	10	"had"	17
"on"	5407	149	10	"on"	18
"with"	4611	149	10	"with"	19
"not"	4189	149	10	"not"	20
"at"	4175	149	10	"at"	21
"for"	4129	150	10	"for"	22
"as"	4042	149	10	"as"	23
"they"	3989	152	10	"they"	24
"him"	3612	132	10	"him"	25
"but"	3350	151	10	"but"	26
"then"	3232	148	10	"then"	27
"there"	3159	148	10	"there"	28
"from"	3138	148	10	"from"	29
"my"	3115	142	10	"my"	30
"were"	3037	148	10	"were"	31
"me"	3025	143	10	"me"	32
"up"	2754	149	10	"up"	33
"out"	2741	146	10	"out"	34
"be"	2725	146	10	"be"	35
"is"	2653	143	10	"is"	36
"them"	2496	148	10	"them"	37
"like"	2473	145	10	"like"	38
"have"	2456	145	10	"have"	39
"all"	2428	150	10	"all"	40
"into"	2402	144	10	"into"	41
"if"	2395	145	10	"if"	42
"what"	2298	142	10	"what"	43
"one"	2230	147	10	"one"	44
"would"	2228	142	10	"would"	45
"back"	2210	144	10	"back"	46
"down"	2179	142	10	"down"	47
"no"	2053	144	10	"no"	48
"this"	2025	146	10	"this"	49
"shadow"	2016	47	8	"shadow"	50
"could"	1991	143	10	"could"	51
"or"	1986	145	10	"or"	52
"we"	1902	137	10	"we"	53
"so"	1863	143	10	"so"	54
"when"	1815	148	10	"when"	55
"an"	1730	144	10	"an"	56
"do"	1714	140	10	"do"	57
"your"	1701	137	10	"your"	58
"been"	1677	137	10	"been"	59
"are"	1661	140	10	"are"	60
"now"	1580	142	10	"now"	61
"about"	1561	141	10	"about"	62
"who"	1524	144	10	"who"	63
"did"	1513	139	10	"did"	64
"man"	1470	118	10	"man"	65
"by"	1446	145	10	"by"	66
"just"	1446	142	10	"just"	67
"looked"	1415	133	10	"looked"	68
"know"	1338	133	10	"know"	69
"it's"	1305	131	10	"it's"	70
"don't"	1293	128	10	"don't"	71
"door"	1291	119	10	"door"	72
"old"	1264	127	10	"old"	73
"here"	1193	138	10	"here"	74
"hand"	1192	129	10	"hand"	75
"time"	1187	142	10	"time"	76
"i'm"	1174	123	10	"i'm"	77
"more"	1174	137	10	"more"	78
"over"	1173	141	10	"over"	79
"something"	1164	138	10	"something"	80
"their"	1117	136	10	"their"	81
"richard"	1107	22	2	"richard"	82
"head"	1097	139	10	"head"	83
"which"	1093	137	10	"which"	84
"little"	1089	135	10	"little"	85
"see"	1088	139	10	"see"	86
"through"	1079	137	10	"through"	87
"asked"	1069	131	10	"asked"	88
"where"	1039	145	10	"where"	89
"eyes"	1023	135	10	"eyes"	90
"fat"	1011	53	10	"fat"	91
"go"	1011	137	10	"go"	92
"can"	1010	134	10	"can"	93
"walked"	1009	130	10	"walked"	94
"people"	1003	127	10	"people"	95
"thought"	996	134	10	"thought"	96
"charlie"	966	16	3	"charlie"	97
"went"	955	136	10	"went"	98
"how"	954	129	10	"how"	99
"get"	942	135	10	"get"	100
"off"	925	137	10	"off"	101
"will"	923	128	10	"will"	102
"got"	921	132	10	"got"	103
"way"	917	137	10	"way"	104
"good"	912	130	10	"good"	105
"well"	911	125	10	"well"	106
"its"	908	132	10	"its"	107
"put"	897	131	10	"put"	108
"other"	896	130	10	"other"	109
"nothing"	888	129	10	"nothing"	110
"away"	877	132	10	"away"	111
"than"	861	135	10	"than"	112
"going"	847	128	10	"going"	113
"took"	838	129	10	"took"	114
"around"	826	129	10	"around"	115
"mr"	825	62	8	"mr"	116
"some"	821	134	10	"some"	117
"told"	815	128	10	"told"	118
"think"	814	130	10	"think"	119
"made"	805	135	10	"made"	120
"only"	802	133	10	"only"	121
"come"	796	138	10	"come"	122
"long"	779	131	10	"long"	123
"black"	778	123	10	"black"	124
"face"	778	134	10	"face"	125
"still"	769	136	10	"still"	126
"before"	760	138	10	"before"	127
"came"	759	134	10	"came"	128
"never"	756	130	10	"never"	129
"even"	755	125	10	"even"	130
"world"	716	131	10	"world"	131
"night"	699	118	10	"night"	132
"too"	697	126	10	"too"	133
"bod"	693	7	1	"bod"	134
"things"	686	129	10	"things"	135
"two"	686	124	10	"two"	136
"want"	679	113	10	"want"	137
"us"	673	126	10	"us"	138
"voice"	667	120	10	"voice"	139
"side"	656	124	10	"side"	140
"say"	654	125	10	"say"	141
"you're"	654	107	10	"you're"	142
"thing"	643	125	10	"thing"	143
"woman"	643	103	10	"woman"	144
"room"	641	105	10	"room"	145
"mother"	634	95	9	"mother"	146
"first"	630	126	10	"first"	147
"didn't"	626	109	10	"didn't"	148
"very"	626	121	10	"very"	149
"look"	620	129	10	"look"	150
"right"	617	128	10	"right"	151
"any"	615	129	10	"any"	152
"tell"	615	116	10	"tell"	153
"knew"	614	130	10	"knew"	154
"small"	612	126	10	"small"	155
"after"	606	140	10	"after"	156
"white"	606	127	10	"white"	157
"began"	590	122	10	"began"	158
"yes"	581	115	10	"yes"	159
"himself"	578	100	10	"himself"	160
"left"	575	128	10	"left"	161
"dead"	568	106	9	"dead"	162
"take"	568	125	10	"take"	163
"turned"	566	120	10	"turned"	164
"much"	563	122	10	"much"	165
"make"	548	127	10	"make"	166
"again"	540	127	10	"again"	167
"day"	538	121	10	"day"	168
"felt"	532	111	10	"felt"	169
"once"	526	118	10	"once"	170
